TimeStamp (ms), Device type, Position x, Position y, Position z, Rotation w, Rotation x, Rotation y, Rotation z, Primary value, Nib value, Grip value, Touchpad X value, Touchpad Y value, Button AX, Button BY
3.904522, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639628, 0.241432, -0.1833714, -0.402062, 0, 0, 0, 0, 0, 0, 0
3.918371, Hmd, 0.03885177, 1.140166, -0.03043221, 0.9552392, 0.1867473, 0.2293012, 0.008035533, 0, 0, 0, 0, 0, 0, 0
3.918371, Primary, 0.2311143, 0.8856289, 0.2504548, 0.9966365, 0.05182673, -0.008916466, 0.06285074, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.918371, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639626, 0.2414321, -0.1833717, -0.4020622, 0, 0, 0, 0, 0, 0, 0
3.946174, Hmd, 0.0406495, 1.138641, -0.03019699, 0.9533598, 0.1891165, 0.235081, 0.008760969, 0, 0, 0, 0, 0, 0, 0
3.946174, Primary, 0.234284, 0.8908805, 0.2486852, 0.9967332, 0.05068604, -0.007413893, 0.06244089, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.946174, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639626, 0.2414327, -0.1833709, -0.4020622, 0, 0, 0, 0, 0, 0, 0
3.959927, Hmd, 0.04139939, 1.137955, -0.0299426, 0.9519526, 0.1930955, 0.2375185, 0.009246313, 0, 0, 0, 0, 0, 0, 0
3.959927, Primary, 0.2360887, 0.89373, 0.2477756, 0.9968434, 0.04995335, -0.006095529, 0.06140647, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.959927, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639627, 0.2414318, -0.1833716, -0.402062, 0, 0, 0, 0, 0, 0, 0
3.974071, Hmd, 0.04223093, 1.137598, -0.02963801, 0.9508231, 0.195819, 0.2397997, 0.009300835, 0, 0, 0, 0, 0, 0, 0
3.974071, Primary, 0.2395478, 0.8996691, 0.2475917, 0.9941995, 0.03553874, 0.001909465, 0.1014925, 0, 0, 0, -0.007827878, -0.001876831, 0, 0
3.974071, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639631, 0.2414316, -0.1833717, -0.4020615, 0, 0, 0, 0, 0, 0, 0
3.988045, Hmd, 0.0430505, 1.137551, -0.02910675, 0.949972, 0.1975836, 0.2417096, 0.009508699, 0, 0, 0, 0, 0, 0, 0
3.988045, Primary, 0.2424911, 0.9033239, 0.2466826, 0.9938406, 0.03175844, 0.008453994, 0.1058335, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.988045, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639627, 0.2414318, -0.1833716, -0.402062, 0, 0, 0, 0, 0, 0, 0
4.002033, Hmd, 0.04369047, 1.137351, -0.02890345, 0.9492784, 0.1987852, 0.2434063, 0.01040951, 0, 0, 0, 0, 0, 0, 0
4.002033, Primary, 0.2444528, 0.9058982, 0.2457297, 0.9945014, 0.03430408, 0.008829416, 0.09855084, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.002033, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639625, 0.2414321, -0.1833717, -0.4020622, 0, 0, 0, 0, 0, 0, 0
4.015849, Hmd, 0.04440498, 1.137152, -0.02855586, 0.9486614, 0.1991847, 0.245463, 0.01071789, 0, 0, 0, 0, 0, 0, 0
4.015849, Primary, 0.2466499, 0.9096506, 0.2450849, 0.9940214, 0.03064436, 0.009707898, 0.1043467, 0, 0, 0, -0.007827878, -0.001876831, 0, 0
4.015849, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639625, 0.2414322, -0.1833714, -0.4020621, 0, 0, 0, 0, 0, 0, 0
4.043426, Hmd, 0.04556033, 1.136354, -0.02823821, 0.9472827, 0.2012344, 0.2490448, 0.01170353, 0, 0, 0, 0, 0, 0, 0
4.043426, Primary, 0.2507902, 0.9167609, 0.2436646, 0.9942473, 0.02401799, 0.01022191, 0.1038787, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.043426, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639627, 0.241432, -0.1833713, -0.4020622, 0, 0, 0, 0, 0, 0, 0
4.057877, Hmd, 0.04612967, 1.13598, -0.02799539, 0.9466602, 0.2025482, 0.2502992, 0.01261506, 0, 0, 0, 0, 0, 0, 0
4.057877, Primary, 0.2527325, 0.919597, 0.2431009, 0.9943021, 0.02436169, 0.009420483, 0.1033485, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.057877, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639622, 0.2414323, -0.1833718, -0.4020629, 0, 0, 0, 0, 0, 0, 0
4.071474, Hmd, 0.04669115, 1.135796, -0.02770397, 0.9460428, 0.2040632, 0.2513763, 0.01308143, 0, 0, 0, 0, 0, 0, 0
4.071474, Primary, 0.2547218, 0.922212, 0.2424931, 0.9944745, 0.02454623, 0.009320736, 0.1016416, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.071474, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639625, 0.2414321, -0.1833717, -0.4020622, 0, 0, 0, 0, 0, 0, 0
4.085344, Hmd, 0.047205, 1.135568, -0.0274612, 0.9455764, 0.2050096, 0.2523339, 0.01356117, 0, 0, 0, 0, 0, 0, 0
4.085344, Primary, 0.2570494, 0.9251925, 0.241886, 0.9940618, 0.0213623, 0.01189488, 0.1060342, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.085344, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639634, 0.2414312, -0.1833709, -0.4020614, 0, 0, 0, 0, 0, 0, 0
4.099494, Hmd, 0.04783005, 1.13544, -0.02701658, 0.9452115, 0.2055974, 0.2531832, 0.01425647, 0, 0, 0, 0, 0, 0, 0
4.099494, Primary, 0.2595498, 0.9286569, 0.2412587, 0.9933257, 0.0159757, 0.01557436, 0.113164, 0, 0, 0, -0.00779736, -0.001846313, 0, 0
4.099494, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639625, 0.2414322, -0.1833714, -0.4020621, 0, 0, 0, 0, 0, 0, 0
4.113277, Hmd, 0.04849622, 1.135301, -0.02675307, 0.9448479, 0.2058368, 0.2542929, 0.0151252, 0, 0, 0, 0, 0, 0, 0
4.113277, Primary, 0.261938, 0.9319972, 0.2406441, 0.992808, 0.01183622, 0.01869571, 0.1176551, 0, 0, 0, -0.00779736, -0.001876831, 0, 0
4.113277, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639627, 0.2414321, -0.1833717, -0.4020619, 0, 0, 0, 0, 0, 0, 0
4.141106, Hmd, 0.04976588, 1.134584, -0.02637452, 0.9438491, 0.2068732, 0.2570513, 0.01664669, 0, 0, 0, 0, 0, 0, 0
4.141106, Primary, 0.266101, 0.9373922, 0.239512, 0.9927111, 0.006537211, 0.02183786, 0.1183423, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.141106, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639623, 0.2414327, -0.1833722, -0.4020622, 0, 0, 0, 0, 0, 0, 0
4.155098, Hmd, 0.05029348, 1.134246, -0.02614725, 0.9433187, 0.2079753, 0.2580751, 0.01712807, 0, 0, 0, 0, 0, 0, 0
4.155098, Primary, 0.2681625, 0.940639, 0.2392922, 0.9909533, 0.001655713, 0.02298859, 0.1322132, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.155098, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639622, 0.2414325, -0.1833714, -0.4020628, 0, 0, 0, 0, 0, 0, 0
4.168732, Hmd, 0.05090931, 1.133982, -0.02604556, 0.9428232, 0.2088126, 0.2591799, 0.01754159, 0, 0, 0, 0, 0, 0, 0
4.168732, Primary, 0.2703271, 0.9425884, 0.2388088, 0.991711, 0.001002151, 0.02385573, 0.12625, 0, 0, 0, -0.007827878, -0.001876831, 0, 0
4.168732, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639628, 0.241432, -0.1833713, -0.402062, 0, 0, 0, 0, 0, 0, 0
4.182806, Hmd, 0.0515379, 1.133877, -0.02571611, 0.9423487, 0.2094384, 0.2603602, 0.0180867, 0, 0, 0, 0, 0, 0, 0
4.182806, Primary, 0.2722158, 0.9435492, 0.2383557, 0.992485, 0.003985721, 0.02349083, 0.1200247, 0, 0, 0, -0.007827878, -0.001876831, 0, 0
4.182806, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639627, 0.2414314, -0.1833714, -0.4020625, 0, 0, 0, 0, 0, 0, 0
4.197225, Hmd, 0.05210102, 1.133744, -0.02550136, 0.9419139, 0.2100463, 0.261404, 0.01861992, 0, 0, 0, 0, 0, 0, 0
4.197225, Primary, 0.2740099, 0.9447855, 0.2379861, 0.9929855, 0.004177808, 0.02350798, 0.1157993, 0, 0, 0, -0.00779736, -0.001846313, 0, 0
4.197225, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639627, 0.2414321, -0.1833717, -0.402062, 0, 0, 0, 0, 0, 0, 0
4.211043, Hmd, 0.05259821, 1.133487, -0.02529013, 0.9416053, 0.2102506, 0.2623263, 0.01895277, 0, 0, 0, 0, 0, 0, 0
4.211043, Primary, 0.2761165, 0.9460827, 0.2378536, 0.9925383, 0.003312112, 0.02564962, 0.1191583, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.211043, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639627, 0.2414308, -0.183372, -0.4020627, 0, 0, 0, 0, 0, 0, 0
4.224668, Hmd, 0.05313542, 1.133297, -0.02500443, 0.941265, 0.210829, 0.263075, 0.01905355, 0, 0, 0, 0, 0, 0, 0
4.224668, Primary, 0.2781555, 0.9470763, 0.2377165, 0.992054, 0.00259728, 0.02789544, 0.1226544, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.224668, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639628, 0.241432, -0.1833713, -0.402062, 0, 0, 0, 0, 0, 0, 0
